Title,Category,Sub-Category,Skills,Rating,Number of viewers,Site,Level,Price
Accelerated Computer Science Fundamentals Specialization,Computer Science,Algorithms,"Run-time Analysis, Algorithms, Hash Table, Trees (Data Structures), Object-Oriented Programming (OOP),",4.7,2340.0,Coursera,,
Digital Marketing Specialization,Business,Marketing,"Digital Marketing, Marketing, Pricing Strategies, Marketing Mix, Product Strategies, Data Collection, Analytics, Data Analysis, Data Visualization (DataViz), Marketing Analytics, Marketing Performance, Marketing Channel,",4.6,16501.0,Coursera,,
DevOps on AWS Specialization,Computer Science,Software Development,"Continuous Integration, Devops, Monitoring and Logging, Continuous Delivery, Microservices, AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, Test Automation, AWS cloud,",4.7,811.0,Coursera,,
Generative Adversarial Networks (GANs) Specialization,Data Science,Machine Learning,"Generator, Image-to-Image Translation, glossary of computer graphics, Discriminator, Generative Adversarial Networks, Controllable Generation, WGANs, Conditional Generation, Components of GANs, DCGANs, Bias in GANs, StyleGANs,",4.7,1902.0,Coursera,,
Data Visualization with Tableau Specialization,Data Science,Data Analysis,"Storyboarding, Map, Tableau Software, Data Visualization (DataViz), Data Virtualization, Visualization (Computer Graphics), Data Analysis, Visual Analytics, Interactive Visualization,",4.5,6556.0,Coursera,,
Certified in Cybersecurity Specialization,Information Technology,Security,"Cybersecurity, Network Security, security principles, Risk, Information Assurance, security, governance, Computer Security Incident Management, Business Continuity, Disaster Recovery, Logical Controls, administrative controls,",4.6,114.0,Coursera,,
Business Strategy Specialization,Business,Business Strategy,"Strategic Analysis, Strategic Management, Strategic Thinking, Business Strategy, Capabilities Analysis, Competitive Position, Industry Structure, business competition, Mergers And Acquisitions (M&A), innovation strategy, growth strategy, Strategy Implementation,",4.8,2524.0,Coursera,,
Applied Data Science with Python Specialization,Data Science,Data Analysis,"Text Mining, Python Programming, Pandas, Matplotlib, Numpy, Data Cleansing, Data Virtualization, Data Visualization (DataViz), Machine Learning (ML) Algorithms, Machine Learning, Scikit-Learn, Natural Language Toolkit (NLTK),",4.5,25522.0,Coursera,,
Human Resource Management: HR for People Managers Specialization,Business,Business Strategy,"Performance Management, interviewing, Human Resources (HR), Onboarding, managing people, Resource Management, Hr Strategy, Recruiting, Recruitment, Performance Appraisal, Organizational Culture, Incentive,",4.8,10827.0,Coursera,,
Achieving Personal and Professional Success Specialization,Personal Development,Personal Development,"goal setting, Happiness, Personality Development, Personal Development, Communication, Negotiation, Deception,",4.7,2296.0,Coursera,,
Regulatory Compliance Specialization,Business,Business Essentials,"Risk Management, Business Strategy, Compliance, Human Resources Management, Brand Management, Strategic Planning, Management, Organizational Behavior, Information Privacy, Data Management, Privacy Compliance, Operations Management,",4.8,1789.0,Coursera,,
"TESOL Certificate, Part 1: Teach English Now! Specialization",Language Learning,Learning English,"Education, Online Learning,",4.9,9201.0,Coursera,,
Financial Engineering and Risk Management Specialization,Business,Finance,"Quantitative Analysis, Asset Allocation, Algorithmic Trading, Portfolio Optimization, Mathematical Finance, Derivatives, Swaps and options, Fixed Income, Binomial Distribution, black scholes model, model calibration, modeling and pricing Credit Default Swaps,",4.5,145.0,Coursera,,
UI / UX Design Specialization,Arts and Humanities,Music and Art,"Website Wireframe, strategy, User Interface Design (UI Design), User Experience (UX), User Research, Graphic Design, Adobe XD, Adobe Illustrator, InVision, Marvel, Adobe Indesign, Treejack,",4.7,6349.0,Coursera,,
"Product Ideation, Design, and Management Specialization",Business,Marketing,"Product Development, Ideation, Product Management, product design, Innovation, Market Analysis, Entrepreneurship, Competitive Analysis, Customer Development, Marketing, Leadership, User Experience (UX),",4.5,237.0,Coursera,,
Financial Analysis - Skills for Success Specialization,Business,Finance,"Accounting, Scenario Analysis, financial statement analysis, Strategic Management, Finance, Risk, Financial Analysis, Financial Statement, Planning, Decision-Making, Data Analysis, Budget,",4.6,65.0,Coursera,,
Creative Writing Specialization,Arts and Humanities,Music and Art,"Short Story Writing, Fiction Writing, Creativity, Copy Editing,",4.7,4819.0,Coursera,,
Data Structures and Algorithms Specialization,Computer Science,Algorithms,"Debugging, Software Testing, Algorithms, Data Structure, Computer Programming, Dynamic Programming, Binary Search Tree, Priority Queue, Hash Table, Stack (Abstract Data Type), List, Graph Theory,",4.6,12782.0,Coursera,,
Software Product Management Specialization,Computer Science,Design and Product,"Software Requirements, Product Management, Scrum, agile, Project Management, Agile Software Development, Software Product Management, Software Project Management, Lean Software Development, Software Development Process, Scrum (Software Development), User Story,",4.7,8428.0,Coursera,,
Foundations of Management Specialization,Business,Leadership and Management,"Accounting, Leadership, Finance, Marketing, Financial Accounting, Financial Statement, Balance Sheet, Dupont Analysis, Management Accounting, Business Analysis, Management Styles, Management,",4.7,1801.0,Coursera,,
Genomic Data Science Specialization,Data Science,Data Analysis,"Bioinformatics, Statistics, Data Science, Computational Biology, Biopython, Python Programming, Genomics, Bioinformatics Algorithms, Algorithms, Algorithms On Strings, Samtools, Unix,",4.4,5102.0,Coursera,,
Methods and Statistics in Social Sciences Specialization,Social Sciences,Governance and Society,"Statistics, Statistical Inference, R Programming, Qualitative Research, Confidence Interval, Statistical Hypothesis Testing, Regression Analysis, Analysis Of Variance (ANOVA),",4.6,3953.0,Coursera,,
"NoSQL, Big Data, and Spark Foundations Specialization",Information Technology,Data Management,"Apache Hadoop, Mongodb, Big Data, Apache Spark, NoSQL Databases, NoSQL, Cloud Database, Cloudant, Cassandra, SparkSQL, SparkML,",4.3,102.0,Coursera,,
Think like a CFO Specialization,Business,Finance,"Financial Accounting, Accounting, Financial Statement, Balance Sheet, Dupont Analysis, Management Accounting, Business Analysis, Finance, Corporate Finance, Financial Risk, Evaluation, Investment,",4.8,518.0,Coursera,,
TensorFlow: Advanced Techniques Specialization,Data Science,Machine Learning,"Model Interpretability, Custom Training Loops, Custom and Exotic Models, Generative Machine Learning, Object Detection, Functional API, Custom Layers, Custom and Exotic Models with Functional API, Custom Loss Functions, Distribution Strategies, Basic Tensor Functionality, GradientTape for Optimization,",4.8,1157.0,Coursera,,
"Data Engineering, Big Data, and Machine Learning on GCP Specialization",Data Science,Machine Learning,"Tensorflow, Bigquery, Google Cloud Platform, Cloud Computing,",4.6,12174.0,Coursera,,
